Br32Si8Br32Si8
N8N8
Br32Ti8Br32Ti8
Pd(SCl3)2
Mo(CO)6
K3Cd
Cs1Cs1
Cs2WBr6
Cs2SeCl6
Cs2PdI6
SbS2NCl6
VF5
KBi2
ReF7
OsF6
AuCl
K2OsBr6
MoF6
IrF6
SO2
Rb1Rb1
B4H16Hf1B4H16Hf1
Rb2O
Cs2WCl6
LiCaRh
Cs2PbCl6
Cs2SnI6
Cs2SnCl6
Cs2SnBr6
Na2CO5
K2RuCl6
CsKICl
H3N
Cs3Bi2Br9
CsAuBr3
Na3Ca
AgB(CN)4
Cs2CN2
Cs3Sb2I9
NbBr3O
K2OsCl6
SnCl2
TiTlPS5
BrF3
PbICl
F6S1F6S1
N8O4N8O4
Br4Br4
Hg8I16Hg8I16
RbHg2
RbI
CrO3
Cs2GeCl6
K2TiCl6
Rb2PtI6
NaTeAu
Ca5Mg
Rb2MnCl6
RbAu3Se2
Li2Mg
BaSr3
RbNiCl3
Cs3Ti2Cl9
SeOF2
K2HfF6
TlI
In
K3Si
CsMgCl3
Na3C
Rb2TeBr6
CsFeCl3
Rb2PbCl6
K3N
CsClO4
RbCoCl3
SbF5
CsVCl3
CsVBr3
Rb2TiCl6
NaH2N
Na3Mg
Rb7Au5O2
TlSbS2
CsSbF6
CsSnI3
Rb3Ir
K2SnBr6
Rb2ZrCl6
Cs4Na8Cs4Na8
F4Si1F4Si1
CrCl3
CsNaICl
CsAgCl3
KSr3
CsAgCl2
RbCa3
Ba3N
KCuS
RbBr
CsAgSe4
CsAu
KTl2Bi
Rb2PdBr6
CdAgSb
TlCl
Rb2PdCl6
Rb2PdCl4
CsCl
CsCoCl3
RbBiF6
Cd(AgI2)2
RbLiMg6
Ba3SrI8
Rb3BAs2
Na2CS3
K2SnCl6
Cs2Pt3S4
K2PtBr4
Cs2ICl6F
RbAuS
Li3Ag
KI
NaHg
Li3CrS4
K2PdBr4
Cs2Pt3Se4
Cs2CaBr4
KNO2
K2TaCl6
K2ReCl6
CsSnSe3
Rb2Cu(BrCl)2
TeF4
Ca2Mg
S9S9
F2Xe1F2Xe1
F2Kr1F2Kr1
Rb2MnBr4
CsNiCl3
CsPbBr3
Na3Au
RbTiBr3
SrI2
KNaICl
K2PdCl6
KPF6
Rb2H6Pt
KRbO
TlPS3
K2PtCl4
Ca3PbN
AgClO3
Li3NbS4
GeF2
Cs2Pd(IBr2)2
KNa(BH4)2
RbFeS2
KSb(PS3)2
Li3VS4
Cs2CoF6
CaH4(ClO)2
KBr
Mg(AlH4)2
Rb2CdCl4
Rb3As
LiSbAu
Rb2Pt3S4
K3AgSn3Se8
K3BP2
Cs2RuO4
K4HgAs2
PH4I
Tl2Au
TlNO3
NaTl2Bi
Cs2Hf1I6Cs2Hf1I6
Cs8I24Sn4Cs8I24Sn4
I4Pb2I4Pb2
